"ID","f1","f2","f3","amp11","amp12","amp13","amp14","amp21","amp22","amp23","amp24","amp31","amp32","amp33","amp34","phi12","phi13","phi14","phi21","phi22","phi23","phi24","phi31","phi32","phi33","phi34","trend","varrat","varred","CLASS"
"HIP 66609             ",9.99857304,10.94474013,9.57828899,0.0249,0.0021,0.0041,0.0026,0.023,0.0012,0.0026,0.0028,0.0133,0.0037,0.0013,9e-04,-0.5051,-2.8468,-0.3953,-0.9646,-2.5304,-3.1326,1.3998,-1.2948,-1.3552,1.8308,-1.0019,0,0.6441,0.8277,"DSCUT"
"HIP 82798             ",10.01089909,2.05759185,10.71819087,0.007,3e-04,9e-04,7e-04,0.0053,0.0025,0.0015,5e-04,0.0041,0.0011,0.0012,0.0011,1.3578,-0.7276,-1.0193,-1.4634,1.9089,-1.1533,-0.8708,0.4764,-1.0359,-2.0561,1.2968,0,0.7444,0.6137,"DSCUT"
"HIP 27400             ",4.44161838,6.59989711,8.81084222,0.1861,0.0212,0.0122,0.0074,0.0423,0.008,0.006,0.0016,0.0146,0.0062,0.0012,0.004,3.0645,0.7023,-2.4734,-0.6978,0.5437,-2.2413,2.5655,-2.6691,0.0995,-0.5577,2.9391,0,0.0716,0.9715,"DSCUT"
"HIP 107004            ",14.23085944,10.92459911,6.37772802,0.009,0.0015,0.0027,0.0034,0.0079,0.0045,0.0023,0.0019,0.0059,0.0016,0.0023,0.0012,1.6168,2.3522,1.8979,-2.2879,1.72,2.5613,-2.1324,-2.9846,-0.5884,-1.3266,0.2273,0,0.744,0.6404,"DSCUT"
"HIP 106417            ",9.12876634,11.83323858,10.04026909,0.2288,0.061,0.0181,0.003,0.0606,0.0036,0.0068,0.0083,0.0415,0.0085,8e-04,0.0042,2.2339,-0.9527,0.1427,-1.3479,-1.9789,1.373,-2.1133,2.1796,2.0205,0.6923,-3.0692,0,0.1388,0.9296,"DSCUT"
"HIP 103290            ",12.19693939,15.76680925,0.23066138,0.123,0.0226,0.006,0.0176,0.0504,0.0127,0.003,0.0094,0.0343,0.0033,0.0073,0.006,2.6242,-2.2882,1.0194,-0.1608,2.357,1.9856,0.4503,-2.3431,2.8804,0.9724,-1.7666,-1e-04,0.3005,0.8768,"DSCUT"
"HIP 746               ",9.89734906,9.04722557,10.48832076,0.0181,0.0012,5e-04,8e-04,0.0029,0.0012,6e-04,2e-04,0.0029,7e-04,2e-04,8e-04,-1.8715,-0.2627,1.9362,-2.251,1.7486,-2.07,-2.9379,2.4286,-0.4555,1.2196,-1.8108,0,0.1511,0.9279,"DSCUT"
"HD 88824              ",8.98098232,10.73995297,8.44000226,0.012,6e-04,0.0024,0.0015,0.0079,0.0014,0.0027,0.001,0.0053,0.001,0.0018,0.0017,-1.3448,2.8837,1.4831,-0.4084,-0.5037,0.104,-0.5597,1.8808,2.3016,-1.6817,0.6039,0,0.5738,0.6879,"DSCUT"
"HIP 52624             ",4.03839075,16.02910392,4.43557602,0.0195,0.0024,0.0025,0.0032,0.007,0.0013,0.0019,0.0014,0.007,8e-04,0.0029,0.0017,2.1335,2.7991,-2.6689,-0.4108,-0.3319,-3.121,1.9275,-2.9611,0.2079,1.541,1.0187,0,0.4054,0.7121,"DSCUT"
"                      ",8.35542205,8.55989974,10.5431225,0.0178,0.0014,0.0023,0.0038,0.0113,0.0034,5e-04,0.0011,0.0102,0.0011,4e-04,0.0026,2.7324,2.1477,0.5339,2.6185,-1.9637,-1.3997,-2.2129,1.1634,-2.8352,1.0177,-3.1144,0,0.5697,0.6647,"DSCUT"
"HIP 111041            ",7.02209683,6.43985037,16.99456853,0.005,0.0011,0.0021,0.0017,0.0031,5e-04,0.0012,7e-04,0.0034,0.0017,6e-04,0.0011,-2.775,1.761,-1.323,1.3394,3.0487,-0.7922,1.6633,-1.2777,1.9271,2.6096,2.4145,0,0.7287,0.5477,"DSCUT"
"HIP 51361             ",6.09733929,14.29140888,0.58150747,0.0252,0.005,0.0019,0.0018,0.0073,0.0013,7e-04,5e-04,0.0054,0.0011,0.0013,0.0014,-1.3222,-0.6618,-2.4439,-1.5676,-1.1146,-0.2977,-2.4526,-1.3052,-2.1477,-1.1124,2.4807,0,0.3542,0.7297,"DSCUT"
"HIP 50775             ",6.67793831,4.8025873,9.07188414,0.0164,0.0031,0.002,0.0016,0.0083,0.0067,0.0017,0.001,0.0077,3e-04,0.0013,0.002,2.3396,1.8048,-1.0413,3.0011,0.668,0.167,1.8879,0.6422,-1.0176,-1.9254,-2.6674,0,0.5717,0.6318,"DSCUT"
"HIP 96189             ",11.3678332,0.8075363,10.63656514,0.0216,0.0034,0.002,8e-04,0.0119,0.0021,0.0012,0.0016,0.0064,8e-04,0.0023,0.001,2.5272,1.7491,-1.245,1.4347,-0.9983,2.5254,-0.4679,0.6629,-1.5099,-0.1529,-2.3281,0,0.317,0.831,"DSCUT"
"HIP 71960             ",15.54430856,15.39595527,8.48053481,0.0081,0.0042,0.0039,0.0021,0.0054,0.0018,0.0022,0.0021,0.0067,6e-04,0.0016,0.0031,2.5795,1.0564,-2.3837,2.4589,-1.1278,2.9085,0.16,-1.6537,1.8053,-0.5393,-2.2153,0,0.747,0.5953,"DSCUT"
"HIP 8985              ",6.29074551,16.53586421,13.77754033,0.0282,0.0015,0.0028,0.0011,0.0057,7e-04,0.0021,0.0015,0.0056,6e-04,4e-04,8e-04,-1.3038,0.4326,1.2208,-0.0779,1.8948,-0.2937,1.8669,1.8545,2.0143,-0.5048,-2.3429,0,0.1755,0.9,"DSCUT"
"HIP 14700             ",6.67766718,12.00111383,4.21960261,0.0261,0.005,0.0016,0.0026,0.0122,0.0042,0.0021,0.002,0.0117,0.0037,0.0049,0.0028,2.8513,-0.3851,1.4792,0.1301,1.5791,-2.3438,2.2684,1.3499,2.1285,1.2867,-2.9544,0,0.4331,0.7879,"DSCUT"
"HIP 2005              ",4.57692852,10.56074798,15.24101009,0.0656,0.0031,0.0095,0.0047,0.0204,0.014,0.0132,0.0141,0.0209,0.0034,0.007,0.0109,-1.935,0.5767,0.5934,1.0749,-2.4054,-1.4419,-0.9728,0.4204,-1.5642,-1.878,0.6558,0,0.4585,0.7364,"DSCUT"
"HIP 27462             ",9.73984211,8.27844252,4.76954593,0.032,0.0082,0.0057,0.0048,0.0116,0.0052,9e-04,0.005,0.0107,0.002,0.0012,0.0033,1.7654,0.0617,0.2632,2.4613,2.3664,-1.0993,-1.624,-1.6206,-0.337,3.1258,-2.7882,0,0.333,0.832,"DSCUT"
"HIP 100187            ",3.59975549,10.28046773,4.67007805,0.0351,0.003,0.0028,0.0055,0.0159,0.0058,0.0056,0.002,0.0129,0.0041,0.0033,0.0029,2.7639,-0.1197,-0.8677,-2.548,1.705,-2.1981,1.1942,0.7931,0.1369,-2.4605,-0.9357,0,0.4737,0.721,"DSCUT"
"HIP 98757             ",8.00631358,8.71304379,8.39900834,0.0208,0.0024,0.0024,0.0027,0.0118,0.0042,0.0026,0.0015,0.0109,0.0033,0.0056,0.0032,-1.806,-2.4779,-2.4959,2.6632,-2.4452,-2.8784,-0.6735,-1.5677,3.0243,2.6368,2.4691,0,0.575,0.6847,"DSCUT"
"HIP 112355            ",8.18265866,15.22871192,1.77578139,0.0133,0.0012,0.0017,0.0022,0.0058,0.0015,0.0037,0.0018,0.0041,6e-04,0.0014,4e-04,2.5264,-1.3553,2.5779,1.01,1.315,-1.5463,-3.1207,2.4755,-2.7481,-1.3043,2.9779,0,0.4277,0.7898,"DSCUT"
"HIP 99365             ",6.24131336,12.09429471,5.91147064,0.0294,0.0038,0.0021,0.0026,0.0088,0.0042,0.0036,0.0019,0.009,0.0015,0.0024,0.0014,2.8641,-2.5286,-0.0183,-2.9248,-1.9737,-2.1884,2.818,1.9547,-2.6297,2.8289,1.6615,0,0.3609,0.7889,"DSCUT"
"HIP 64844             ",8.21674945,9.26024168,17.00724093,0.012,9e-04,4e-04,0.0013,0.0026,0.0013,0.0015,9e-04,0.0028,7e-04,0.0013,6e-04,-1.7538,-2.6645,-0.7557,-0.6069,-3.0001,0.6291,-0.6841,0.1285,-0.309,-1.8061,-1.3657,0,0.3473,0.7355,"DSCUT"
"HIP 115550            ",11.94204739,12.54751228,1.17831214,0.0081,0.0038,0.0024,9e-04,0.0087,0.0032,0.0012,0.0028,0.0067,0.001,0.0026,0.0014,2.6201,2.0608,-2.8884,-3.021,-2.7705,2.7618,-2.9735,-3.1052,-2.0611,-2.4957,0.5059,0,0.7582,0.6219,"DSCUT"
"HIP 60467             ",4.19521017,6.40022419,4.25624892,0.0127,7e-04,0.0036,0.003,0.0136,0.0011,0.0024,0.0022,0.012,0.002,0.004,0.0031,-0.0356,-1.0117,2.4021,2.5368,-1.2882,-0.8925,-2.5069,0.848,0.2907,0.9663,2.261,0,0.6978,0.6506,"DSCUT"
"HIP 96966             ",9.30630201,7.97823255,11.76562153,0.0274,0.0075,0.0034,0.0021,0.0103,0.0023,0.0028,0.0017,0.0097,0.0033,0.0041,0.0048,-0.6081,-0.4028,2.8836,-1.1878,-0.211,-0.2571,-1.8782,0.4699,0.6468,-1.491,-1.974,0,0.4536,0.7182,"DSCUT"
"HIP 39009             ",3.74463739,1.55215126,0.20676592,0.1904,0.0283,0.022,0.011,0.0315,0.0095,0.0044,0.0059,0.033,0.0106,0.0046,0.0078,-3.1052,-0.573,1.913,1.2016,1.2829,-0.6445,2.3542,2.1503,0.6297,-2.2496,-2.9317,1e-04,0.1463,0.8964,"DSCUT"
"HD 214441             ",7.93525124,7.08976387,14.78101043,0.0146,0.0013,0.0024,0.0026,0.0067,0.0023,0.0036,5e-04,0.0077,0.0013,0.0017,0.0017,-0.8828,-2.0476,-1.8501,2.2901,0.5041,0.9625,0.712,-0.2696,-1.4076,-0.377,1.2146,0,0.6077,0.5806,"DSCUT"
"HIP 88537             ",8.65360604,0.14130144,1.22603102,0.0293,3e-04,0.0036,0.0025,0.0206,0.0087,0.0073,0.0031,0.0095,0.0018,0.0043,0.0044,-1.2118,-2.154,-1.3917,-3.0343,-2.7762,2.9052,-1.516,0.5432,-0.5999,-2.243,-2.619,0,0.6299,0.6209,"DSCUT"
"HIP 12235             ",1.46305106,0.58948712,2.05270885,0.1674,0.1082,0.0744,0.0349,0.1072,0.0242,0.0182,0.0358,0.089,0.0149,0.026,0.0322,-1.4744,-2.8301,2.1561,1.2591,1.6891,0.6953,0.3646,-1.0516,2.5586,1.079,-2.0853,1e-04,0.6748,0.5983,"DSCUT"
"HIP 6539              ",14.29118668,7.54969712,15.89929007,0.0043,0.0021,8e-04,0.0011,0.0042,2e-04,8e-04,0.0025,0.0041,0.001,0.0016,0.0011,1.1551,-3.0537,0.757,0.8601,-1.2569,-1.6226,2.8203,0.7174,-2.0643,-0.6084,0.8554,0,0.7971,0.5805,"DSCUT"
"HIP 104029            ",3.74115482,8.673808,4.67799853,0.1545,0.029,0.0156,0.0031,0.0114,9e-04,0.0042,0.0034,0.0099,0.0015,0.0011,0.0043,0.8693,-3.107,-0.1461,-0.592,1.2254,0.0921,-1.0494,-0.5868,0.8351,-2.9693,-2.5312,0,0.021,0.9899,"DSCUT"
"HIP 86711             ",7.51712941,7.80813503,1.07728123,0.0446,0.0075,6e-04,0.0043,0.0087,0.002,0.0012,0.002,0.008,0.0031,8e-04,0.0023,2.9819,-2.82,-0.2054,-0.4422,-1.2146,0.0236,-0.417,-2.3855,0.1217,2.5535,3.029,0,0.1492,0.9049,"DSCUT"
"HIP 39757             ",7.09817305,11.31733263,7.08638598,0.0451,0.0043,0.0016,6e-04,0.0044,8e-04,0.0014,0.0012,0.0037,0.0021,0.0014,5e-04,2.6061,-1.4164,-0.5758,2.8564,-1.8366,2.0092,-2.6066,-0.6133,-2.7387,0.4662,2.3638,0,0.0877,0.9305,"DSCUT"
"HIP 3432              ",8.00595693,7.81492317,8.10104161,0.07,0.0099,0.0042,0.0046,0.0421,0.005,0.0054,0.0027,0.0139,0.0016,0.0029,0.0066,2.2236,-2.4757,-2.4519,-1.7972,-2.0923,-1.8443,3.092,1.9699,1.1547,2.8156,0.2241,0,0.4113,0.8918,"DSCUT"
"HIP 57812             ",4.51773266,0.64968544,15.23251729,0.1933,0.0236,0.0187,0.0145,0.0234,0.0045,0.0084,0.0025,0.0193,0.0072,0.0066,0.0121,2.9794,0.3374,-2.4078,-1.284,1.0664,-0.647,-2.1002,3.0369,0.4371,-2.4098,0.906,0,0.0529,0.9679,"DSCUT"
"HIP 49393             ",8.27020875,11.50636632,9.52997291,0.0176,0.0022,0.0039,0.0014,0.0109,0.0037,0.0017,0.0035,0.0063,7e-04,1e-04,0.001,-3.1119,-1.8053,-0.1126,0.8788,3.0864,-1.5202,0.5541,2.1153,2.754,2.8744,2.7618,0,0.4701,0.761,"DSCUT"
"HIP 93214             ",8.83294895,10.93460287,2.35762737,0.0181,0.0014,0.0021,3e-04,0.0051,8e-04,0.0028,0.0017,0.006,0.0014,5e-04,4e-04,-2.6047,0.8208,2.2344,0.1242,-2.013,-2.1179,0.6167,1.1244,-0.595,-0.4399,-1.0063,0,0.3649,0.8102,"DSCUT"
"HIP 117515            ",5.04100311,0.78557261,8.59781949,0.0073,0.001,0.0034,0.0016,0.0051,0.0027,0.0036,0.0017,0.0056,6e-04,0.0015,0.0023,2.5846,0.0823,-2.8005,-2.5349,-2.481,-2.7979,-0.4894,-2.5338,1.905,2.3335,-2.5352,0,0.7712,0.5493,"DSCUT"
"HIP 82346             ",9.64240252,9.43795896,10.76813935,0.0197,0.0047,0.0036,7e-04,0.0175,0.0044,0.0029,0.0033,0.0111,9e-04,5e-04,0.0022,0.9191,-1.1837,-2.6529,2.513,-1.8273,-0.6167,-1.3159,-1.3963,0.666,-1.7134,-1.8796,0,0.6637,0.6188,"DSCUT"
"HIP 45693             ",7.41614574,7.83448238,13.71547751,0.028,0.0034,0.0029,0.0036,0.0182,0.0017,0.0019,0.0027,0.0101,0.0027,0.0034,0.0028,2.7506,1.6329,0.0296,-1.537,1.8623,-1.9862,1.3454,1.4028,-1.2716,1.7893,1.1704,0,0.5789,0.6251,"DSCUT"
"HIP 75233             ",0.10714305,0.78540138,11.66230617,0.0629,0.0011,0.0108,0.0071,0.0198,9e-04,0.0018,0.0029,0.0124,9e-04,0.0044,0.0039,1.4243,0.2217,0.4954,-0.4579,1.57,3.105,-0.7383,-0.3155,-0.6565,-1.4553,1.9647,0,0.2022,0.9294,"ELL"
"HD 96008              ",3.22976328,15.46759468,16.03116783,0.0164,0.0017,0.0016,0.0014,0.005,0.0023,0.0024,8e-04,0.0048,8e-04,0.0028,5e-04,0.9276,1.6566,1.5909,-2.0976,2.7633,2.3087,3.0125,-0.4986,-2.0317,-1.6824,2.8059,0,0.3873,0.7427,"ELL"
"HIP 17448             ",0.4525196,0.44445023,5.29622925,0.0156,7e-04,0.002,0.0013,0.0033,7e-04,0.0014,0.0015,0.0032,6e-04,0.0016,1e-04,-1.4484,3.0866,0.1041,-2.0029,0.3039,-0.1475,1.4721,-2.9204,-0.7259,-1.316,-0.2394,0,0.0927,0.9756,"ELL"
"HIP 22797             ",0.54043399,3.64241865,1.30683605,0.0233,0.001,4e-04,2e-04,0.0041,0.0022,0.003,0.0017,0.004,0.0011,4e-04,8e-04,-1.1401,0.7904,0.5886,-1.1154,0.8329,2.133,-1.1519,2.7204,0.9081,2.5116,1.3181,0,0.0671,0.9842,"ELL"
"HIP 42712             ",1.77860349,13.67242477,1.68530708,0.017,0.0015,0.001,0.0011,0.0044,0.0013,8e-04,0.0012,0.0038,0.0012,9e-04,0.0013,3.0567,3.088,-0.3266,0.6109,-0.9569,0.674,0.6411,-1.2518,1.4306,-2.6677,1.5279,0,0.224,0.8795,"ELL"
"HIP 108772            ",0.65128712,0.32589804,0.65077817,0.0399,0.0019,6e-04,3e-04,0.0051,0.0056,3e-04,0.0011,0.0045,0.0011,0.0012,4e-04,-0.5331,2.6513,1.916,-3.0442,-1.2593,2.3953,2.6392,-1.8762,2.0011,-1.0095,-0.3534,0,0.052,0.9833,"ELL"
"                      ",0.7918558,0.35172692,0.69682122,0.0158,0.0025,0.001,0.0022,0.0066,0.0029,0.0036,0.0026,0.0056,0.0018,0.001,0.0011,-1.1936,-2.2369,1.2779,2.7657,2.8713,-0.7353,2.7803,-2.4571,-0.7656,-2.829,-0.0477,0,0.2909,0.9046,"ELL"
"HIP 22370             ",2.34746782,1.17356608,1.68310438,0.0563,0.0067,0.0012,0.005,0.0243,0.0039,0.0037,0.0055,0.0106,0.0027,0.0023,0.0031,-2.4782,-1.4881,0.4221,2.5156,1.5338,0.2472,1.495,-0.394,0.3821,-0.1234,-1.6649,0,0.2156,0.9333,"ELL"
"HIP 93727             ",3.50034756,1.71522679,12.52889534,0.0574,0.0055,0.0016,0.0029,0.0272,0.0087,0.0062,0.0046,0.0138,9e-04,0.0067,0.0051,-0.7476,-0.6797,-1.4891,0.3611,1.0231,1.7253,1.8536,2.5524,1.8445,-0.3471,-2.8596,0,0.313,0.8626,"ELL"
"HIP 16591             ",2.18053251,5.91638289,4.86250479,0.0238,9e-04,0.0014,2e-04,0.0054,4e-04,0.0015,0.0011,0.0036,0.0014,7e-04,0.0011,2.672,1.5158,-1.8784,0.3395,-1.2141,-2.1214,0.6331,1.2191,-0.8602,-1.4401,-0.9409,0,0.104,0.9593,"ELL"
"HIP 18485             ",0.67235583,12.62080662,13.26527496,0.0212,0.0025,0.0034,6e-04,0.0039,2e-04,3e-04,0.0014,0.0037,0.0021,5e-04,0.0019,-0.5271,-2.6674,1.9207,-1.1252,-1.7498,1.0351,-0.6871,0.3365,0.2576,0.7347,-2.5091,0,0.1253,0.9411,"ELL"
"HIP 64956             ",0.10708606,11.20336189,11.25878362,0.0618,5e-04,0.0067,0.0069,0.0151,0.0061,0.0029,0.0035,0.0144,0.0019,0.008,0.0021,0.0565,1.7823,1.4299,0.2407,2.1347,0.7457,0.9316,2.626,3.1103,-2.8865,-2.1064,0,0.1421,0.923,"ELL"
"HIP 109082            ",0.92054391,11.58695353,4.20623353,0.0311,6e-04,0.0031,7e-04,0.0046,0.0026,0.0011,0.0012,0.0048,0.0013,0.0012,0.0013,3.0783,-2.7977,-1.3355,-0.6395,-2.0683,-0.3901,1.2752,-2.0842,0.6348,0.4867,-1.3546,0,0.1605,0.8976,"ELL"
"HIP 20070             ",1.3094607,11.74551348,1.02032097,0.0258,0.0019,0.0028,0.0025,0.0069,0.0015,0.0013,0.0013,0.0048,0.0016,0.0018,0.0019,0.2887,-3.0599,-1.9852,-1.3133,2.7441,0.3338,-1.6311,1.1901,-0.4152,-2.595,0.8723,0,0.1497,0.9507,"ELL"
"HIP 32263             ",0.86896957,9.79884482,7.06966625,0.0241,0.0064,0.0016,0.0071,0.0121,0.0016,0.003,0.0037,0.0107,0.0015,0.001,0.002,0.6976,-0.4587,2.3372,0.3477,2.1814,-1.702,-1.9783,2.4117,1.5851,0.0152,1.9743,0,0.4585,0.7794,"GDOR"
"HIP 111278            ",0.55657795,4.81131948,8.16572516,0.0105,0.0079,7e-04,0.001,0.0106,0.0035,8e-04,0.001,0.0073,0.0032,9e-04,0.0019,0.6103,1.8555,-2.4251,-1.9337,0.78,-2.6239,-1.2649,-0.5574,-1.0803,-0.6428,-0.9878,0,0.4038,0.8931,"GDOR"
"HIP 34834             ",0.38031041,11.61754041,10.92341771,0.0068,0.003,0.0021,0.0035,0.0046,6e-04,9e-04,0.0024,0.0054,1e-04,0.0017,5e-04,-0.2248,-3.0629,1.5733,-1.8202,-0.5209,-1.3314,1.1835,-2.5308,-1.5318,-3.0657,2.3748,0,0.5623,0.7625,"GDOR"
"HIP 63076             ",2.35556554,2.24302505,3.1605262,0.0189,0.0023,0.0031,0.0014,0.0104,0.0025,0.0038,0.0016,0.0058,5e-04,6e-04,0.0024,1.6378,0.3371,1.1548,-2.4439,0.9557,-1.6,1.0501,-2.5269,-1.5758,-2.6815,-2.7295,0,0.4291,0.8367,"GDOR"
"HIP 69403             ",1.3133983,1.35880764,13.47473112,0.023,0.007,0.0016,0.0045,0.0117,0.0011,0.0117,0.005,0.0079,0.0037,0.0021,0.0016,1.3103,2.5526,-2.3655,-2.8086,-2.4757,-0.6088,0.5382,1.4684,1.1723,-2.3599,-3.1194,0,0.375,0.9188,"GDOR"
"HD 69715              ",1.95161169,14.46170058,9.06697548,0.0129,0.005,0.0029,0.0046,0.0089,0.0028,0.0022,0.0037,0.0081,0.0018,0.002,0.0017,-2.4532,-1.4719,-0.7502,0.1246,0.6044,0.6271,0.5166,-0.2092,-2.3345,1.666,0.539,0,0.6003,0.7425,"GDOR"
"HIP 118293            ",1.54129498,10.59940272,11.57060207,0.0107,0.0024,8e-04,1e-04,0.009,0.0018,0.0012,0.0031,0.0076,4e-04,9e-04,0.0015,1.8117,-2.8169,-1.2066,-3.0322,-1.3411,2.9468,2.6321,1.5145,-1.5085,1.0913,2.2946,0,0.743,0.5707,"GDOR"
"HIP 59203             ",0.85937039,10.72440351,1.32126618,0.0144,0.0036,0.0033,0.0053,0.0139,0.0022,0.0032,0.0011,0.0123,0.0017,0.0033,0.0011,-2.0945,-0.495,-1.098,-0.6127,2.8909,-2.2291,-0.2335,0.283,3.0446,-0.9011,-2.3412,0,0.762,0.5307,"GDOR"
"HIP 92837             ",1.2712662,1.22167316,11.11492385,0.0204,0.0055,0.0025,3e-04,0.0153,0.0023,0.002,0.0026,0.0078,0.0016,9e-04,2e-04,2.5401,2.2053,2.7591,-3.0691,0.0126,2.8667,-1.4157,1.388,3.0901,-3.077,2.2819,0,0.5306,0.7723,"GDOR"
"HIP 38797             ",9.87181563,0.03479164,4.50383977,0.0089,0.0042,0.0041,0.0014,0.0103,5e-04,0.0025,0.0041,0.0071,0.0019,0.0016,0.001,2.9226,0.2325,2.6768,-0.5041,-1.2365,1.191,-1.9339,-2.601,1.3787,0.6945,-1.4078,0,0.6343,0.6942,"GDOR"
"HIP 31920             ",13.01745172,5.69771734,3.63497425,0.0087,0.0026,0.0036,0.0017,0.0081,0.0021,0.0027,0.0015,0.0083,0.0022,1e-04,0.0013,-2.2968,0.1912,2.7104,-2.4783,2.868,-0.8954,0.2307,0.2743,-0.0243,2.4602,2.5764,0,0.7003,0.6603,"GDOR"
"HD 207223             ",1.94235645,6.95474431,12.70094455,0.0055,0.0015,3e-04,0.0017,0.0046,0.0025,0.0025,6e-04,0.0036,0.0015,0.0012,0.0019,2.2244,0.2425,-0.8227,-1.3858,-2.9785,-0.6021,2.5754,1.2892,-2.3045,-0.4003,-0.9277,0,0.685,0.7072,"GDOR"
"HIP 88272             ",1.23257158,1.2536875,1.90276836,0.027,0.0073,0.0071,0.0069,0.0123,0.001,0.0047,0.0016,0.0101,0.0012,0.0041,0.0033,2.1583,-1e-04,1.1785,-0.6837,-1.15,-2.3316,-1.3729,0.8997,-0.314,1.0752,-1.1969,0,0.2574,0.9407,"GDOR"
"HD 2842               ",1.71250681,1.39600037,1.80189223,0.0233,0.0064,5e-04,0.0048,0.0203,0.0032,0.003,0.001,0.0143,0.0035,0.0063,0.0013,1.8755,2.0403,1.6971,-1.3341,1.5994,1.9076,2.4038,-0.8978,-2.7299,-0.4677,2.3385,0,0.5046,0.8211,"GDOR"
"HIP 82693             ",13.79329134,3.62538046,9.03626162,0.0065,0.0029,0.0011,0.0021,0.0053,5e-04,0.0016,0.0021,0.0037,0.0011,0.001,0.0018,-0.1549,0.8193,-2.4675,-2.4715,-1.0988,0.3204,1.6548,-1.2354,1.6051,2.0486,2.9151,0,0.7011,0.6711,"GDOR"
"HIP 83317             ",2.89740373,3.09780981,3.40290044,0.0079,3e-04,0.0012,0.0014,0.0057,2e-04,0.0014,5e-04,0.0043,5e-04,0.0018,6e-04,2.3598,-2.5584,-1.3374,2.5579,-2.3654,1.1941,0.7978,-2.1179,-1.9051,3.1147,1.5576,0,0.5763,0.7483,"GDOR"
"HIP 82779             ",1.18236896,1.33972995,0.47182358,0.0255,0.0105,0.0043,0.0021,0.0225,0.0023,0.0047,0.0011,0.0166,0.0034,0.0034,0.005,2.0089,-1.8739,-2.6068,0.9282,-1.6404,1.442,2.6387,-1.9087,-1.0925,2.0864,-1.8222,0,0.623,0.6907,"GDOR"
"HIP 40462             ",1.30035393,7.22595718,1.49539787,0.0099,0.0016,0.0025,0.0023,0.0064,0.0021,0.0029,8e-04,0.006,0.0035,4e-04,0.0026,-2.4416,-2.6373,-0.359,2.1309,1.9435,0.1226,1.6372,0.7648,2.477,-3.0167,0.2037,0,0.6631,0.6071,"GDOR"
"HIP 100859            ",1.25053341,1.29845453,0.80696038,0.0325,0.0183,0.0086,0.0052,0.0253,0.0072,0.004,0.0079,0.0154,0.0046,0.0053,0.0062,0.837,2.8991,-1.7203,2.8532,1.1033,-2.1406,1.9553,1.8754,0.958,-2.8494,1.5949,0,0.3855,0.9017,"GDOR"
"HIP 55791             ",2.20780951,16.29873586,14.84062346,0.007,0.0033,0.0026,0.0031,0.0042,0.0012,0.004,0.0018,0.0045,0.0015,8e-04,7e-04,-2.6572,2.8187,1.1599,-0.3738,-3.0228,2.8367,-0.6289,-2.4419,-0.8192,-2.3361,-0.1736,0,0.5868,0.8381,"GDOR"
"HIP 64834             ",1.20446248,1.41563169,0.07731144,0.0164,5e-04,0.0011,7e-04,0.01,0.0037,0.0026,9e-04,0.0064,0.0023,0.0036,0.0019,-0.5375,-2.4146,-2.567,2.1254,-1.4783,-3.0021,-1.9707,-1.1305,3,-2.4384,-1.1164,0,0.5058,0.813,"GDOR"
"HIP 159               ",9.24873191,14.78529125,14.19709859,0.0049,0.0019,0.0017,0.0032,0.0054,5e-04,7e-04,0.002,0.0042,0.0016,0.0024,0.0021,-1.3997,2.7516,-0.9565,-0.2888,2.4593,1.3315,2.089,2.3055,1.4884,1.5982,-0.3962,0,0.7292,0.6332,"GDOR"
"HIP 39017             ",1.55289051,1.67317323,0.62399833,0.0234,0.005,0.0017,7e-04,0.0186,0.0049,0.0038,0.0037,0.0107,0.0039,0.002,0.0028,1.9188,-2.5475,-1.3317,0.9203,2.3671,-1.1018,0.4285,0.7716,0.7703,-0.0904,0.5763,0,0.4278,0.8908,"GDOR"
"HIP 88565             ",12.49828396,3.06970984,14.87403586,0.0048,0.0012,0.0012,0.0012,0.0064,0.0023,6e-04,0.0018,0.0039,0.0015,8e-04,6e-04,-0.6796,-0.802,-2.0539,2.218,-1.7775,2.4547,-1.3875,-1.204,1.1076,-0.3572,0.1686,0,0.783,0.5678,"GDOR"
"HIP 12953             ",0.63550164,12.74747038,10.54240293,0.0203,0.0033,0.0046,0.003,0.0143,0.0016,0.0064,0.0044,0.0082,0.0046,0.0043,0.0017,0.6584,-0.7907,1.1461,-0.3486,1.4933,-2.1102,-2.614,-0.4368,1e-04,-0.5023,-1.1756,0,0.4596,0.856,"GDOR"
"                      ",1.32097881,0.96173578,10.3195376,0.0162,0.0077,0.0034,0.0024,0.01,0.0069,0.0026,0.0018,0.0062,4e-04,0.0012,0.0018,1.6153,-1.6067,2.4099,-0.2063,1.127,0.3971,0.6739,0.396,1.536,-2.2215,2.7056,0,0.4296,0.8742,"GDOR"
"HD 108100             ",9.74629649,13.06721187,3.05124479,0.0089,0.003,0.0017,0.003,0.0065,0.0013,0.0011,0.0035,0.0066,0.0016,0.0018,0.001,1.8835,1.9404,-0.1562,1.6901,-0.0738,-0.1968,1.2114,-2.2743,0.4766,2.8563,0.6789,0,0.7303,0.5512,"GDOR"
"HIP 76485             ",0.90554227,8.17490819,14.0356825,0.0305,0.0047,0.0056,0.0058,0.0144,0.0015,0.0027,3e-04,0.0108,0.0012,0.0052,0.0046,-1.8555,-2.1505,-0.6488,-0.2088,2.5579,-1.0262,2.6297,-3.114,-2.172,-0.4951,-2.4327,0,0.4493,0.8745,"GDOR"
